NAME,MAX ENERGY,PREFERRED GENRE,BANNED SONGS,MUST PLAY SONGS,FAMILY FRIENDLY?,VENUE NOTES
HARVEST MOON,4,"CLASSIC, POP, ALT",,,N,"Can play almost anything here, but no heavy or explicit songs in first one-and-a-half sets"
THE PUB TIFTON,5,ALL,,,N,"Very permissive venue, but keep it clean and light at first then build to heaviest at end of night"
JOLLY ROGERS,5,ALL,,,N,"Can play almost anything here, but no heavy or explicit songs in first one-and-a-half sets"
MCS,4,"CLASSIC, POP, GRUNGE, ALT",,,N,"Can play almost anything here, but no heavy or explicit songs in first one-and-a-half sets"
OGLETHORPE,5,"GRUNGE, ALT, HEAVY",,,N,Very permissive venue
MERRY ACRES,4,"CLASSIC, POP, GRUNGE, ALT",,,Y,Keep it very family-friendly and lighter overall
CYPRESS GRILL,4,"CLASSIC, POP, GRUNGE, ALT",,,Y,Keep it very family-friendly and lighter overall
THE PLAZA THOMASVILLE,4,"CLASSIC, POP, ALT",,,Y,"Most boring, laid back venue. We don't play here often for a reason. Keep it bland and quieter until the 3rd set."
PILLARS FITZGERALD,4,"CLASSIC, POP, ALT",,,Y,"Can play almost anything here, but no heavy or explicit songs in first one-and-a-half sets"
BOOK FAIR,4,"CLASSIC, POP, GRUNGE, ALT",,,Y,"Can play almost anything here, but no heavy or explicit songs in first two sets"
CITY,4,"CLASSIC, POP, ALT",,,Y,Keep it very family-friendly and lighter overall
WEDDING,4,"CLASSIC, POP, ALT",,,Y,"Keep it very family-friendly and lighter overall, but consider additional context if provided."
BIRTHDAY,4,"CLASSIC, POP, GRUNGE, ALT",,,N,"Birthdays can vary wildly. Aim for middle-of-the-road as far as energy and explicitness go, consider additional context if provided."